look: 4 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 Hazy golden-orange with visible effervescence, a creamy white head, good retention, and streaky lacing.  Smells of ripe banana, clove, hay, dried apricot, pear, apple skin, honeydew melon, and toast.  The taste follows the nose. Banana and dried apricot upfront, followed by toast and cracker, apple, pear, lemon, honeydew melon, green grape, hay and clove. A hint of sweetness throughout, but finishes dry and spicy.  The feel is medium-plus-ish, highly carbonated like champagne, providing a prickling and pillowy sensation that quickly rolls across the palate and disappears into dryness.  A sensational American saison! One of the OG American saisons, this stands up to the test of the time. Phenomenal stuff.   
look: 4.5 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4.5 750 mL cork and cage bottle from the LCBO; best before Nov 27 2019 and served barely chilled. Long overdue for a look.    Pours hazy medium gold; slightly clouded, highly effervescent body, generating more than two fingers of puffy, pillowy white head comprised of big, soapy bubbles. It falls apart slowly, requiring more than ten minutes to fully dissipate - a patchy cap and fat collar of foam remain, with gobs of messy lace also having been deposited in its wake. Kind of smells like a hefe to me - I'm getting a lot of ripe banana on the nose, with spicy hints of clove, pepper and coriander. Wheaty, grainy, bready pale malt backdrop sweetness, with light hints of lemon/orange peel and orchard fruit providing some added depth.    Quality stuff; ostensibly Belgian in theme, though I think if you gave this to me blindfolded, I'd believe it to be a hefeweizen - its ripe banana esters are the main reason for that notion, while its wheaty, bready malt notes merely reinforce it. Citrusy hints of orange peel and lemon zest rise to the occasion by mid-sip, leading into a spicy, yeasty tail end that includes suggestions of clove, pepper and coriander; clove spice and wheat grain sweetness wrap up the sip before a dry aftertaste. Medium in body, with assertive, prickly carbonation at first, though it does settle down quite a bit throughout the course of the glass, becoming more smooth and soft. While not a factor within the flavour itself, the alcohol does warm the throat/chest just a tad as you sip your way into this one.    Final Grade: 4.16, an A-. Ommegang's Hennepin did not disappoint, but it didn't exactly knock my socks off, either. That is to say, there's nothing out of place here: it's exactly what it needs to be, without going above or beyond in any specific manner. It's a solid beer in and of itself, but it's priced at $10.45 per bottle (in this market) and that seems kinda pricey for what I'm getting. Don't get me wrong - I liked it, and I'd consider buying it again, but I dunno how often I'll be returning to this at that price. In any event, cheers to a fine pick for my 1800th review.   
look: 4.75 | smell: 4.5 | taste: 4.75 | feel: 5 | overall: 4.75 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Not a big fan of Saison's overall. But this one is the best of all of them. Had it once years ago and decided to pick up a 4 pack the other day to revisit the beer. Not bad, I enjoyed it.   
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 12-0z. bottle poured easily into a 16-0z mug produces a foamy off white finger sized head with a little lacing at first, head comes back with a swish due to the abundant carbonation.   Hazy yellow golden straw color, just hazy straw when held up to light.  Smell is mild and features citrus fruit and grass some yeast and hops with a slight alcohol bite.  Taste has added spice and twinges of funk, sour at first with bitter hops taking over the middle and finish.  Light bodied with ample carbonation, fizzy on the palate with a dry spice finish.  Easy to drink, not overly sour or funky. Nice hop bitterness and sour balance.   
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 3.75 | feel: 3.75 | overall: 3.75 Pours a yellow straw color. Smell is primarily oranges, some applies. Taste is orange and hops. Slightly bitter. Dry after taste. Didn't get any spice. Light and flowery.   
look: 4.25 | smell: 3.75 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4.5 | overall: 4.25 Pours a clear bright orange color with a full head and plenty of carbonation. The smell is slight with a hint of a Hefe style brew. The initial taste is also Hefe like as first, then sweet and a slight boozy aftertaste, but hidden nicely. The feel is thinner but flavorful as well. Overall, this is a great brew and the 1st Saison style that I've ever tried, definitely want to track down some more.   
look: 3.5 | smell: 4.25 | taste: 4.75 | feel: 4 | overall: 4.25 Starts good and ends good. Nothing fancy here. Just a good beer. 
look: 4 | smell: 4 | taste: 4.25 | feel: 3.5 | overall: 4.25 
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.25 | smell: 3.5 | taste: 3.75 | feel: 3 | overall: 3.25 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 Really nice aroma of citrus rind,yeast,floral,citrus fruit. Taste was very similar and it was just a bit sweet. Had an interesting spice bite that lingered in the aftertaste. Was glad that I tried it and would seek this out again   
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 2.75 | smell: 3 | taste: 3 | feel: 3.5 | overall: 3 Poured from 12 oz. bottle into tulip.   So I was pouring slowly and no head was forming until all of the sudden and it was gushing over the sides. Left me with a four finger white crown. The beer itself, what's left anyway, is a golden color. Not necessarily clear but can make out my finger on the other side of the glass.   The smell is straw like with notes of lemon. Pretty underwhelming.   The taste of this is is pretty much the same. Lemony and straw like but underwhelming for my liking.   The mouthfeel is probably my favorite part about this brew. It's soft and bubbly, almost like a champagne.   Overall, I expected more from this. It's just pretty average and underwhelming. Balanced and crisp, might be better on a hot summer day.   
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.25 | overall: 3.5 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 3 | smell: 3 | taste: 2.5 | feel: 1.75 | overall: 2.5 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.75 | overall: 4.25 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 A beautiful beer, nice copper color with thick, two finger head. Part of an Ommegang gift set (with the glass), it has a nice aroma and taste, but doesn’t stick to the palate (no aftertaste). Otherwise, a nice Belgian from Ommegang. Can’t wait to try the rest....   
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.5 | feel: 4 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 Nice, classic American saison. Great farmhouse character, floral, earthy tones and spice from the yeast. A bit creamy sweet, a little on the cloying side.   
look: 3.75 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 One of the best from Ommegang. Great tasting brew with crisp notes of ginger, orange peel, coriander and grains of paradise. Start up the fire pit, cook some brats and pour plenty of cold Hennepin!   
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 So good. It's one of my favorites. Almost champagne like. One of the best out there. 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.5 
look: 4.5 | smell: 4.5 | taste: 5 | feel: 5 | overall: 5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 750mL corked bottle bb June 2017 poured into a Ommegang signature glass at fridge temp 7.7% ABV. The beer pours hazy orange yellow with a few floaties and fizzy off white head. Very little head or lacing after 2 minutes. The aroma is very musty (wet basement like) with little else coming through. The taste is rather subdued with some traces of wheat and pils malts and some familiar Belgian yeast character but muted and leaning to the musty side. Mouthfeel is medium bodied, very carbonated and dry in the finish. Overall, ok but not what it would be fresh. Did not know where to look for a date on this, but I've had it fresh before and it was great. Rated to the average and will review again when opportunity presents itself.   
look: 3 | smell: 3 | taste: 3.5 | feel: 3.25 | overall: 3.5 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 Dark straw yellow in color with a light haze. Poured with a robust, bright white, fizzy foam that quickly settled. Medium high aroma of anise and sweet bready, wheat malt with light peppery notes hiding in the distance. Fruity aromas begin to intensify as this warms. Medium bodied with medium high carbonation. Lush, creamy smooth feel up front with boozy warmth emerging from the middle to the end. Sweet bready, malty flavors up front with hints of sweet bananas. Light peppery and anise esters follow on the edges and slowly overtake the sweetness. Tart fruitiness in the middle followed by sweet apple, pear and berries. Finished with a tart fruit flavor followed by a mellow sour dough yeastiness and light peppery notes. Flavors and aromas were complex while subtle. A tasty enjoyable beer.   
look: 2.5 | smell: 2.5 | taste: 2.5 | feel: 2.5 | overall: 2.5 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5 Fresh bottle into a beer glass of sorts. Pours a good amber color with thick head and decent lacing. A terrific wheat farmhouse taste with no lingering aftertaste. Buy it again, yes.   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3.5 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 3.75 | smell: 2.75 | taste: 4 | feel: 4 | overall: 4 Looks: Gold, with a head visible even through the bottle.    Smell: Fruity, yeasty, and hoppy. Not the best, honestly.    Taste: Much more subdued than the smell. A mild fruitiness and freshness without much hop bitterness until the aftertaste, not unlike a good pale lager. A little citrus. Extremely easy to drink.    Mouthfeel: Thicker than I expected for such a pale beer, almost creamy.    Overall: A very fine beer for a hot summer's day. The smell can be off-putting, but the beer is much more mild than it seems and it would be a good alternative to macrobrew lager.   
look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4 | smell: 4.5 | taste: 3.5 | feel: 3.5 | overall: 4 
look: 4 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 Appearance - Pours light golden color with thick rocky white head that lasts forever.    Aroma - Yeast, banana, clove, light funky, straw with a touch of bubblegum.    Taste - Taste leans less toward the funk and more toward the yeast, banana and clove side. Just a hint of funk at the end.    Feel - Light bodied prickly carbonation touch of dryness on the finish.    Overall - A well done saison, nice flavors very easy drinking.   
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.25 | overall: 4.5 Man, Hennepin has got to be one of my favorite beers of all time. Definitely one of the best, highly available (at least on the east coast) American Saisons out there. The beer pours a beautiful hazy yellow-gold, with a head so fluffy you could take a nap on it. It smells of pilsner, clove, ginger, orange peel, mulled wine – grandma's spice rack/the old country. In the mouth, the beer develops what's already in the nose: spiced apples, funky citrus, pepper, yeasty dough with lingering hops. This is a creamy liquid dream, an excellent example of the Saison style.   
look: 4 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4.25 
look: 5 | smell: 3.75 | taste: 4.25 | feel: 3.5 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 Drinkable saison with now bad tastes. Perfect for ALCS start. From Nancy Yung. 
look: 4.25 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 5 | smell: 4.25 | taste: 5 | feel: 4.5 | overall: 4.75 355 ml bottle.   By far, the best saisons brewed in th US. Pours with a generous head with good retention (when done correctly), which helps release the bouquet and enhance the flavor.   Nice and well balanced fruity and floral smell. The effervescence is a little on the higher side; the Golden color is just spot on.   Not as sour as I was expecting (a good thing in my opinion). Citrus flavor with a peach or banana aftertaste (in a good way).  I can’t get any of the ginger out of this one, neither on the smell, nor the taste. but there is no need to go looking for it. This is just as close as it gets to a perfect beer.   Very complex flavor, refreshing, not too bitter.   
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 Decanted from a 12 oz (355 ml) bottle into a conical pint glass; no production information.  A: Pours a slightly, hazy golden color with a very robust and creamy white head showing good retention and some lacing.  S: Aromas of corn/grain initially with an evolving and increasing clove and lemon scent, as it warms.  T: Very dry. Clove and hot pepper flavors mostly, maybe some citrus. Strong bitterness throughout.  M: Light bodied with significant carbonation despite rather high ABV for style. Crisp finish.  O: A nice representative of the Saison style. A little drier and more bitter than average, but with a more complex flavor profile and more refreshing than most.   
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.5 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 4.25 | feel: 4.5 | overall: 4 Deep golden color, somewhat cloudy. Pours a very healthy and creamy white head with good retention.    Nice soft clove aroma, generically "Belgian" but fairly muted in aroma.    Soft clove flavors matching the aroma, but quite drying in the finish. Seems quite authentic with the flavor profile.    MF - Fairly light body and big carbonation. Carbonation aids in the drying finish. Again, quite traditional.    Very much in line with Belgian/French Saisons, in terms of being highly carbonated and dry and maybe a little boring. A nice beer, just probably not my favorite style.   
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.5 | smell: 4 | taste: 4.5 | feel: 3.75 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 Pours hazy yellow. Foamy, fluffy, tall, off white head that lasts a while with light lacing.    Smells clove, fruity yeast, light Funk, doughy malt and hint of pepper.    Tastes apple, pear, spice, yeast Funk, doughy malt and light citrus peel. Finish is semi dry with a yeast Funk and citrusy linger. Medium body and creamy higher medium carbonation.   
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4 This is an excellent example of a traditional saison.    Pours golden yellow with a puffy head.    Nose is full of sweet esters and yeast, with hints of light malt.    The taste follows the nose closely with a touch of apple which dissipates as it warms, and truely comes into its own.   
look: 4.5 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.5 
look: 4.5 | smell: 4.5 | taste: 5 | feel: 4.75 | overall: 4.75 Another home run for Ommegang. A fantastic beer overall and is a must try for all beer lovers out there. A fine example of how a Saison should be. You will notice a good amount of carbonation. The taste is amazing. There is a mild note of fruit that stays on the palate. There is a wonderful white head along with slight lacing. The taste follows the nose and is a lovely blend of clove, Pilsner, fruit, and yeast. I found there to be a great mouthfeel. The champagne-like quality is another element that, when combined with everything else, makes this beer an amazing addition to the Ommegang body of work.   
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4.25 | taste: 4 | feel: 3.5 | overall: 4 Hazy yellow body with a fizzy white head produced with gentle pour. Decent retention and minimal lacing. Smells of pilsner, fruity yeast, jackfruit, clove, and booze. Taste largely follows the nose , but the tongue-tickling effervescence and booziness masks some of the nuances in the flavor. Nice, full yet refreshing mouthfeel thanks to the high ABV. Overall a nice high-ABV saison    81/100   
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.25 | overall: 4.75 
look: 3.75 | smell: 3.5 | taste: 4 | feel: 4 | overall: 4 From the bottle, it pours a solid amber with a modest head which reduces to a ring and a large continent. Possibly some fruit and malt in the nose. The mouth gets a bit of malt and really slight funk. Enjoyable.   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 3.5 | taste: 4 | feel: 4.25 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 3 | taste: 3 | feel: 3.75 | overall: 3.75 Pours golden amber. Bubbly thick head on this brew fading quickly into spotted lacing through out.No fruit notes on the nose. bready mouth feel. Apricot or other fruits are not present in the taste. Heavy malt/yeast/grain instead. Alcohol taste is more prominent yet clean and crisp.Very dry finish. Leaves an interesting coating on the palate perhaps this is the ginger doing its magic.     Hennepin saison ale makes for a solid companion to the summer weather. I've come to expect some semi sweet notes on this style of brew.I've only had a handful of examples in this style. My inexperience and sweet tooth,however does not take away any part of the joy I get from sipping on this brew. Overall this is a solid farmhouse ale, just not what I was expecting. Definitely complex.   
look: 4.75 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 This is delicious. Pours a very prominent soapy head, but dies down a few minutes after the pour. Decent amount of carbonation, slight hint of fruit in the background with a strong presence on the palate. I also pick up on a slight witbier profile character at times. The way a saison should be!   
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Really nice carbonation. Nice funky saison flavors. Nice spice and peppery touch at the end. Get a touch of apples and lemons. Does a good job of not being to overly sweet.   
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4 It poured a light golden yellow yielding a yellow/orange colored body. A white, foamy, one inch head appeared and slowly died to a film coating the top of the body. A fair amount of carbonation is seen rising. The smell has the coriander and pepper up front. The taste is peppery and crisp yet tart and balances it all out with a slight orange peel-esque-ness coming through. The palate is dry on the aftertaste and finish, some acceptable harshness on the tongue. I’d say this is fairly drinkable. I’d say this isn’t exactly very drinkable. Overall, this is a good saison, different from most I’ve had, but still good.   
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4.25 Love this one! I'm surprised I haven't already rated it, as I've had it several times.    Color is a lovely bright cloudy amber. A normal pour creates a billow of white foamy head that dissipates after a couple of minutes to a thin white covering. Fragrance is pleasant and mild - a bit of flower and grain.    Taste is great. A hint of sweetness, but only a hint. Dry on the finish. Quite refreshing, as is supposed to be the case with a saison, although the ABV can be dangerous if one quaffs the brew quickly. Tingly carbonation - champagne-like. Slightly watery, which works fine as a thirst quencher.    Overall, a fine ale that I pick up whenever I come across it.   
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 3.75 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 A hazy lemony gold with lots o' head...Granny Smith's green apples and apricot jam in the aroma, and I pick these in the flavor, as well as the peppery note mention on the bottle. Dry feel, full carbonation, and medium body. Nice brew.   
look: 4 | smell: 4.25 | taste: 4.75 | feel: 4.5 | overall: 4.5 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.5 | overall: 4.25 
look: 4.5 | smell: 4 | taste: 4.75 | feel: 3.5 | overall: 4.25 Love this Farmhouse. Like Tank 7, this is so full of complex flavors. Funky yeast, banana, cloves, great beer 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.5 | taste: 4.25 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 Light color with lots of carbonation bubbles. To me this has the scent of a Belgian Tripel, a bit funky with some spice. Quite a complex range of flavor, there's beery maltiness, some spice with a tripel yeast finish. It's flavorful and yet very much still a beer. Very carbonated and creamy. Well done. The slightest bit of heat on the end.   
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.5 12oz bottle into Libbey tulip  no date code  L- hazy ice tea color, with huge fluffy white head, and great retention  S- farmhouse funk, coriander, orange peel  T- sweet, spicy, funky, in reality a real nice blend of spices and its hard to pick out indivual ones, but really nice all together  F- smooth and creamy with 'tight' carbonation  Overall a great aromatic beer with even better taste. the spices are real nice and subtle contributing to but not overpowering this well crafted brew   
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 Poured from a bottle into a tulip glass. Cloudy yellow color with a rich and foamy head and great lacing. Fragrant and fruity smell, very pleasant. The taste is classic saison, fruity, lemons and spice. Very nice beer!   
look: 4.5 | smell: 4.5 | taste: 5 | feel: 5 | overall: 5 Look - Nearly clear, gold in color with a big fluffy white head. Lots of visible carbonation.  Aroma - Coriander, slight hay, white pepper, orange, grass.  Taste - Biscuity malt, bitter spice, grassy hops, pinch of orange, musty, clean dry finish. The slightest wimper of alcohol after the finish.  Feel - Medium body, loads of carbonation, dry. Goes perfect with the taste and makes an incredibly refreshing beer.    Overall - All of the flavors compliment each other extraordinarily well. One of the best beers I've ever had.   
look: 4 | smell: 4.25 | taste: 4 | feel: 4.5 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 5 | feel: 4.75 | overall: 4.75 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.75 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 love this beer, drank it all the time then I got my hop chops....great pour with a lemon yellow tint, great head that sits well taste touch of citrus and a great feel with full bodied carbonation, great stuff   
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4.25 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.5 Poured into a tulip from a 750ml bottle with a best by of 1/2018.     L- A hazy gold with thick and fairly well sustained head. There is a considerable amount of yeast in the bottom of the bottle and the brewer even cautions to pour slowly.     S- Yeasty with the scent of wet grass and a slight funkiness.     T- Peppery with a hint of citrus peel pith. Moderately hoppy but balanced and refined with a clean, dry finish.     F- Very effervescent and light on the tongue. A rich full body, very crisp and light.     O- This Saison achieves a nice balance of complexity yet maintains the spirt of simplicity of a true farmhouse ale. One of the best I've had.   
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.5 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4.25 
