look: 4.5 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 3.25 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3.5 | taste: 3.25 | feel: 3.25 | overall: 3.5 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 4 Great low abv IPA session. Had pretty weak expectations but I'm happy. Not a deep review sorry 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.5 | overall: 3.75 
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 Got a giant 19oz can as part of a gift. Not one of my normal, go-to beers but its isnt half bad. mellow hoppiness paired with a relatively low ABV and BOOM: session beer. I wouldnt turn it down if offered again but my own personal preference would be an IP in the 6 to 7% ABV range.   
look: 3.5 | smell: 3.5 | taste: 4 | feel: 3.5 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.5 | feel: 4 | overall: 3.75 
look: 3.75 | smell: 2.75 | taste: 3.25 | feel: 2.75 | overall: 2.75 Poured from the bottle into a Westbrook tulip glass.   Look: I dog the color of this beer. The darker, orange toned hue gives high expectations for a relatively low abv session IPA. Most seem to have a straw like color.  Smell: taking a turn here. The Hop aroma is light but I am picking up something metallic, almost irony... It may be coming from the malts, bit I wouldn't expect this from a bottled IPA.  Taste: definitely picking up a more metallic note from the malts backbone. At first sip, the hops shine and make the beer a refreshing, drinkable offering. The metallic aftertaste lingers for what seems like forever. I wonder if this is the case for the draft offering as well??  Mouthfeel: despite the darker color, it is thin enough to be considered a session IPA.   Overall: I really wanted to like this more than I did. A sessionable IPA that makes a statement is difficult to produce, and unfortunately this one didn't break the code for me.   
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.5 | smell: 3.5 | taste: 4 | feel: 4 | overall: 4 Feel is where this one makes me fall for it! The carbonation is perfectly balanced with the Piney hops! I tend to like this one better when the weather cools off a bit, this IPA really hits the spot when the temp drops!   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.75 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 3.75 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 4.25 | feel: 4 | overall: 4.25 Nice easy IPA. Just like it says smooth you can drink it all day. 
look: 3.75 | smell: 4 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 4 | taste: 4 | feel: 4.25 | overall: 4 
look: 4 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.5 | feel: 4 | overall: 3.75 
look: 3.5 | smell: 3.5 | taste: 4.5 | feel: 4.25 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 4.25 | taste: 5 | feel: 5 | overall: 5 Perfect beer for a hot summer day. 
look: 4.25 | smell: 4 | taste: 3.5 | feel: 3.5 | overall: 3.75 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 3.25 | overall: 3.75 
look: 3.75 | smell: 4 | taste: 3.5 | feel: 3.25 | overall: 3.75 
look: 3.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4.25 
look: 3.5 | smell: 3.25 | taste: 3.5 | feel: 3.5 | overall: 3.5 Decent session beer. IMO tastes better a little on the warm side about 52º Similar to the Sam Adams Hazy Session only clearer. I love cans it's the best packaging for these beers.   
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 3.75 
look: 3.75 | smell: 3.5 | taste: 4 | feel: 3.25 | overall: 3.75 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 4 | taste: 4 | feel: 3.75 | overall: 4 A very good ipa. Grapefruit and pine resin hop flavor. Light malt ending to balance it out so bitterness doesn't linger. 
look: 2.5 | smell: 1.5 | taste: 1 | feel: 1 | overall: 1.75 
look: 5 | smell: 5 | taste: 4.5 | feel: 4.5 | overall: 4.75 
look: 4.25 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 From notes 3/25/13: Pours a clear deep honey gold with a faint greenish hue when held to the light. The pour produces 1.5 fingers of frothy, somewhat lasting, white head that leaves splotches, strings and motes of lace. Aroma is pine resin heavy with some grapefruit flesh and pith backed by low caramel malt sweetness. Taste is pine needle tart and bitter resin, grapefruit zest, flesh and pith so heavy that it masks most of the malt. It finishes peppery and bitter transitioning to a simple bitter aftertaste. Mouthfeel is light bodied with moderate carbonation, watery but lively in the mouth and astringent aftertaste.   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.75 | smell: 3.25 | taste: 4 | feel: 3.75 | overall: 3.75 First let me state that my least favorite type of beers are IPAs. That said this is a very drinkable good tasting beer. Not real high in alcohol like most IPAs hence the name.   
look: 3.5 | smell: 3.5 | taste: 4.25 | feel: 4.25 | overall: 4 This beer grew on me over time, and now I consider it an excellent choice for a session IPA.    Poured from a can into a pint glass. It's a golden-honey color, with minimal haziness. The head is average (something I don't care much about). It also has fairly average carbonation. The mouth feel is light, reminiscent of but not quite an India pale lager (IPL). It tastes crisp and refreshing, with a strong, clean hop presence. There is no heavy or complex malt flavor, in keeping with the session-IPA genre, but there is enough. Occasionally, I sense a subtle "metallic" taste, but I don't know if it's due to the can or a characteristic of the hops.    When I want a lighter, lower-alcohol beer with abundant flavor, this one often hits the spot.   
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 4 | overall: 3.5 
look: 3.75 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4.5 | feel: 4.25 | overall: 4.25 ** I am rating this beer for what it is - a Session IPA - It is ridiculous that a few people are giving it a horrible score because it tastes like a watered down IPA - by design, it is a SESSION beer - which means lower ABV - which is achieved by less grains/fermentables to water ratio. Which in turn is going to give you less malty/bready flavors. This beer still has a lot of Hop flavor. If people want a full strength IPA - then go buy a full strength IPA. And giving a beer a bad score on every category because you don't like the taste is also ridiculous. This is a near perfect beer in color, clarity, and head. Mouthfeel is pretty much right on for this style, and this beer is quite aromatic. **    Look = crystal clear golden color - loads of foam at first - when the head recedes, bubbles, activity, and a foam ring remain  Smell = nice floral hops with a touch of pine and cattiness. Some sweet malt and caramel come through  Taste = decent hop bitterness - a bite at first then some pine and citrus hop flavors barge in. Some sweetness comes through and there are some decent bready/yeasty/malt flavors before drying out and fading out with a slightly smoky finish  Feel = low end of a medium bodied brew - I expected it to be a bit thinner. Activity died down halfway through the drinking timeline so I gave it a bit lower score.  Overall = a great beer - more flavorful than I expected for a session beer. Great color and aroma. Nice blasts of hops throughout. Very happy with this one and will buy again. Founders' beers finally made it to Colorado so I am grabbing as soon as I see them (grew up in Michigan but moved away before I knew what real beer was).   
look: 3.5 | smell: 3.5 | taste: 3 | feel: 3 | overall: 3 
look: 3 | smell: 3 | taste: 3 | feel: 3 | overall: 3 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 Canning date was all smudged out, so not sure how fresh this was, but, ...much better than expected! Clear, medium-golden/faintly amber body, few fingers of white foam on top... Light, crisp, clean, smooth... Crackery malt backbone with some hoppy pine shellac and a bit of dry citrus rind... Moderately bitter, mildly sweet, amply carbonated and really refreshing... I think I killed the 12 oz can in like 5 hearty swigs! Don't know if this is gonna change my world view on session beers, but it might - totally possible to crush a six-pack of this without even trying...   
look: 1 | smell: 1 | taste: 1 | feel: 1 | overall: 1 I love founders as a brewery but this beer is just awful. An extremely watered down ipa that misses on so many points. I definitely do not recommend this beer   
look: 4.5 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 3.25 | smell: 3.25 | taste: 3.25 | feel: 3.25 | overall: 3.25 Just too weak and watered down for my tastes but I imagine that's the idea with this beer. Rather drink that little bit extra alcohol and have more flavor and bite. If wanting something lighter to pack down, I'll stick with Yuengling Lager or Pilsner, Pabst and maybe some Narragansett Lager. Likely won't buy this one again.   
look: 4.5 | smell: 4.5 | taste: 4.5 | feel: 4.5 | overall: 4.5 24oz can poured into Duvel tulip. CANNED ON: 08 22 18 printed on bottom of can, so it's exactly 2 months old. Should be plenty fresh. Picked it up at a gas station for $1.99.     Appearance - Pours very large, very loose white head with no lacing and decent retention. Absolute tons of carbonation. Maybe the most I've ever seen in any beer. Deep gold body, hazy to the point of opacity. 4.5    Smell - Fresh grass. Citrus rind. Medium to heavy bodied and round. 4.5    Taste - Light, loose grass up front that mellows out into even lighter grass. Slight bitterness in the aftertaste. 4.5    Mouthfeel - Light-medium bodied, more toward the light end. 4.5    Overall - No off characters. Packs enough grassy bite up front to be a worthwhile IPA, but mild enough to be a great session beer. I fully understand how this beer got its name 'All Day IPA'. Literally even says 'Session Ale' on the can. Flavorful but mild and drinkable. Well done. Great price too. 4.5   
look: 3.5 | smell: 3 | taste: 3.25 | feel: 3.25 | overall: 3 
look: 3.75 | smell: 3.5 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4.5 
look: 3 | smell: 3.25 | taste: 2.75 | feel: 2.75 | overall: 2.75 
look: 4.25 | smell: 3.75 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 3.75 | feel: 4 | overall: 3.75 
look: 3.25 | smell: 3.75 | taste: 3.25 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 4 
look: 4.75 | smell: 4.75 | taste: 5 | feel: 4.75 | overall: 5 Their best IPA by far, this is worth the 15 pack. The kind of beer this is worth the bulk, one of the things founders does very well is make this beer. It is easily drinkable and refreshing.   
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4.5 | smell: 5 | taste: 4 | feel: 4 | overall: 4.25 Excellent light ipa but with a complex flavor that has depth.   Holds up well along side spicy wings which is a great sign.  Awesome, easy-drinking for a beer snob   
look: 4 | smell: 3.75 | taste: 4.5 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 4 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4.5 | taste: 4.5 | feel: 4.25 | overall: 4.25 Pours bright, clear gold with a smallish head. Floral, citrus, pine hop notes fill the aroma. Grapefruit, pine, apricot, floral notes in the taste. Light, clean bready malt in the back. Medium to light mouthfeel with medium carbonation. Medium bitterness lingers a while in the long finish.    A fantastic Session IPA with an OG hop profile. More of the grapefruit, pine, floral notes of IPAs of old. Excellent stuff.   
look: 3.75 | smell: 3.5 | taste: 4 | feel: 4 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4.25 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.25 
look: 3.5 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4.5 | taste: 4.75 | feel: 4 | overall: 4.5 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 3.5 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.75 
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 Always good, all day. Nice bitter backbone and aroma with full body and easy drinking. Light grapefruit and straw notes keep it interesting sip after sip   
look: 4 | smell: 4.25 | taste: 4 | feel: 4 | overall: 4 
look: 5 | smell: 5 | taste: 5 | feel: 5 | overall: 5 Fantastic beer. Hands down my favorite session IPA. 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3 | smell: 3.5 | taste: 3.25 | feel: 3 | overall: 3.25 This is a decent Session IPA, and one of the less expensive ones available. If I'm looking for a Session IPA where cost is not a consideration, firestone easy jack IPA and Terrapins session offering would be higher on my list. Still, for about a buck a can, this is an easy go to Session IPA that gives you enough hops to almost make you forget that it is a bit monochromatic. Certainly worth a try for anyone who likes hops and not too much alcohol.   
look: 4.25 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4.75 | smell: 4.75 | taste: 5 | feel: 5 | overall: 5 
look: 3.75 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 4 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 4.75 | smell: 4.75 | taste: 4.75 | feel: 4.75 | overall: 4.75 I’ve loved a lot of strong craft IPAs but decided to switch to a Session with lower alcohol % since I enjoy ending the day with the a drink or two. This is my fave so far with its smooth but definitely hoppy taste and aroma. In a case of cans, I’m unable to see it but imagine it looks as clean and shiny as it tastes. Very nice!   
look: 3.5 | smell: 3.25 | taste: 3 | feel: 3 | overall: 3.25 Not a terribly exciting beer. I'm a big fan of IPA's, but not session beers. This is better than most, but very one dimensional. Hops without much of a malt backbone to balance things out. Just hop bitterness with a fairly thin mouthfeel. It does have its place though if you don't feel like getting hammered after several beers, but I'd take Firestone Easy Jack over this one.   
look: 3.75 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.5 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 3.25 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 4.25 In the session IPA category, this is about as good as it gets. Of course, I'd just call this a pale ale if I tasted it blind. It's light, but not watery like most session IPAs. Great price too. Pretty much a summer go-to beer.   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.5 | overall: 3.75 
look: 4.25 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 Pours a cloudy, light copper. The hop profile is floral and resinous. There is a slight malt presence, but the hops dominate and coat the tongue. There is a light body and medium carbination. Decent brew and a touch milder than most IPAs.   
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.75 | overall: 3.5 
look: 4 | smell: 4.25 | taste: 3.75 | feel: 4 | overall: 4 
look: 3.75 | smell: 4 | taste: 4 | feel: 3.75 | overall: 3.75 Golden color with white head, aroma of hops and pine needles, medium bitterness, medium body. 
look: 3.25 | smell: 4 | taste: 3.5 | feel: 4.25 | overall: 4 Straw yellow, a bit hazy colored. Big head that faded quickly. Great hop aroma. It's fairly light tasting with a touch of piney on the tongue. Super easy drinking and obviously, by the name, an all day IPA and @4.7% ABV it will probably make a good one. Canned on 05/17/17 so it lasts well. I t still seems fresh. From a 19.2 ounce can into a nonic glass.   
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.75 | taste: 3.5 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.5 | taste: 4 | feel: 4 | overall: 3.75 Smooth for an ipa. I would buy again. 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 3 | smell: 3.5 | taste: 3.75 | feel: 3.5 | overall: 3.25 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.5 | overall: 3.75 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 4 | overall: 3.75 Can in a half pint.    3.5 Look & smell and all classic IPA. No head.  3.5 Taste - slight bitterness but not heaps else.  4 Feel - good level of carbonation    3.75 O - perfectly good and drinkable but nothing that sets it apart.   
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4 
look: 3.25 | smell: 3.5 | taste: 3.5 | feel: 3 | overall: 3.5 Poured into a Lagunitas large mouth glass.    The beer is a light copper, burnt orange hue under a cream colored head that retains well — layer of froth on top with light lacing. Aroma is light pine and a subtle grassiness. The beer tastes the same with very light astringent pine with buttery malts which finishes bitter. Mouthfeel is light but sticky.    Overall, not my thing. I’ll probably never drink a session ipa again, as hyped as this one was.   
look: 4 | smell: 3.75 | taste: 4.25 | feel: 4.25 | overall: 4 19.2 oz Can.   Pours a nice hazy gold color. Foam dissipates quickly leaving a bit but not much lacing.   Lots of IPA's have a grapefruit-like quality, but the aroma on this beer is exactly the same as cutting open a fresh juicy grapefruit. Perhaps a note of tropical fruit and alcohol but faint. Moderately carbonated.    Taste is excellent. Flavors of fresh mango, orange, pine, wheat. It is arranged in a way that the hops are not overbearing but still very apparent. Certainly not bitter, great entry to hop-present beer for someone interested in trying an IPA. Light body (but not watery) and drinkable (That's why it's called Session Ale). Like the image on the bottle, great beer for a hiking or fishing trip. Not an IPA i would turn to for rich flavor after a meal but it serves it's purpose, and is among the best tasting at this ABV.  Overall grade is A-   
look: 3.75 | smell: 3.25 | taste: 3.25 | feel: 2.5 | overall: 3 
look: 4 | smell: 3.75 | taste: 3.5 | feel: 3.25 | overall: 4 
look: 4 | smell: 4.5 | taste: 3.75 | feel: 3.75 | overall: 4 A solid IPA. 
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 3.75 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.5 
look: 3.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4.25 Smell has the classic IPA aroma.    Taste is a perfect concert of sweet, sour, and bitter. Has a touch of citrus in the flavor and a subtle zestyness to the aftertaste. Finishes crisp, with a lingering, slight, piney bitterness.    It's light on the palate, but not watery. Very well carbonated.     This is the perfect beer to drink when you're craving that IPA complexity but need to pace yourself (hence the sub-style name). So far this is my favorite session IPA!   
look: 3.25 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 4.25 | taste: 4.25 | feel: 3.75 | overall: 3.75 
look: 4.25 | smell: 4.25 | taste: 4 | feel: 4.25 | overall: 4.25 
look: 3.5 | smell: 3 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 3.75 
look: 3.75 | smell: 3.75 | taste: 4.25 | feel: 4.5 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.5 Nice as all day session ale. Well balanced. 
look: 3.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 4.25 | taste: 4.5 | feel: 3.75 | overall: 4.25 
look: 4 | smell: 4 | taste: 5 | feel: 5 | overall: 4.75 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4.5 | smell: 4.5 | taste: 4.75 | feel: 4 | overall: 4.5 
look: 4 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.25 | taste: 3.75 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 4 | taste: 4.25 | feel: 3.5 | overall: 4 
look: 4.5 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25 
look: 4 | smell: 4 | taste: 4.25 | feel: 3.75 | overall: 4.25 L: Clear honey gold with a rocky white head. Moderate retention. A film remains. Sheets of lacing.    S: Grapefruit and pine. The classic IPA aroma. It smells really good right now, though. Grapefruit juice as well as peel and zest and oils. Pine needle, orange peel, and light bready, toasty malt.    T: Big pink grapefruit juice, flesh, pith, and peel, all in perfect harmony. Big essence of grapefruit--sweet, sour, and bitter all at once. Lightly toasty, bready malt in the middle with hints of caramel and honey. A touch of orange and mango as well. Nice sticky pine on the back end, slightly resinous and vibrant. Finishes crisp, with a slight lingering stickiness of resin and a light piney bitterness.    F: Light, but not watery. Very well carbonated. Finishes fairly crisp and clean save a sticky hop resin that coats the palate.    O: I can't believe I haven't reviewed this earlier. This beer is the progenitor of the session IPA substyle, and still one of the best. A really great beer on its merits.   
look: 3.75 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 3.5 | taste: 3.75 | feel: 3.75 | overall: 3.75 Crushable. Nice to see it in Calgary! 
look: 4.25 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 12 ounce bottle poured into a IPA glass.    Look- Golden, above average head retention, small particle sediment.  Smell- Piney, bready.  Taste- Piney, watery finish.  Feel- Thin/light body, above average carbonation.  Overall- Not an abundance of flavor especially on the backend.   
look: 4.25 | smell: 4 | taste: 4.25 | feel: 4.25 | overall: 4 
look: 3.25 | smell: 3.5 | taste: 3.5 | feel: 3 | overall: 4.5 
look: 3.25 | smell: 4 | taste: 4 | feel: 4.5 | overall: 4 19.2 oz can poured into a pint glass.     L - Pours a hazy amber/copper color with a bit of transparency and a generous inch or so of soapy white foam that leaves a good lacing throughout. Looks like a lighter IPA.     S - Piney hops, citrus rind, resin, grass, cereal grain, a slight sweetness to it but the typical piney IPA is dominant.     T - Lemon, orange, grapefruit, a little bit of malt and hops, some spice, astringent alcohol bite to finish. Nothing overpowers or stands out, so it's pretty balanced.     F - Light and crisp, definitely drinkable for an all-day session, so it fits the name. Decent carbonation but not too bubbly. Finishes slightly dry but refreshing. It's like an IPA that drinks almost like a lager.    O - A nice, lighter offering for those summer days when you want to knock back a few but not feel knocked out. Has a nice balance of bittersweet and sour from the hops and citrus with just a touch of malty sweetness. If you're looking to break into IPAs, this is a good starter option. And hey, this is my 100th beer review, so cheers to that.   
look: 3 | smell: 3.5 | taste: 3 | feel: 3 | overall: 3 
look: 4.25 | smell: 4 | taste: 4.5 | feel: 4 | overall: 4.25 
look: 3.5 | smell: 3.25 | taste: 4.5 | feel: 3.75 | overall: 4.25 Smell does not do the actual taste justice. Smell is very weak but the taste comes with a good piney citrus flavor that isn’t overwhelming and has very mild bitterness. Could definitely drink this IPA all day   
look: 3.5 | smell: 3.5 | taste: 4 | feel: 3.75 | overall: 4 Pours a nice golden color, thin head, light lacing. Muted aroma but not out of the ordinary for a session IPA. It has a well-balanced flavor, a good piney flavor with a hint of citrus without one ingredient overpowering the other but still nothing really popping out. It has a good feel, somewhat light and crispy without being overbearing, on the palate. With the low ABV, I can see this being a good all-day beer, though it is a bit bland for me, but not bad at all.   
look: 3.5 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 Sample from bottle at Vectura-messe. Also available on tap and bottle at Cardinal Pub & Bar, Stavanger. Golden colour, white head. Fresh American grapefruity and piney hops throughout, in both aroma and flavour,   
look: 4 | smell: 4.25 | taste: 3.75 | feel: 4 | overall: 3.5 Really good session IPA 
look: 4 | smell: 4 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 3.5 | smell: 3 | taste: 4.25 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 3.75 | taste: 4 | feel: 4 | overall: 4 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 
look: 4 | smell: 3.75 | taste: 3.75 | feel: 3.75 | overall: 3.75 
look: 4 | smell: 4 | taste: 4.25 | feel: 4.5 | overall: 4 A pleasant IPA that is crisp and citrusy with a nice, lingering aftertaste. The name is perfect for this brew. All Day IPA will be just that: all day drinkability.   
look: 3.75 | smell: 4 | taste: 4 | feel: 4 | overall: 4 
look: 3.75 | smell: 3.75 | taste: 3.25 | feel: 3.5 | overall: 3.5 
look: 3.75 | smell: 3.5 | taste: 4.5 | feel: 4.25 | overall: 4.25 
look: 3.5 | smell: 3.5 | taste: 3.5 | feel: 3.5 | overall: 3.5 Good IPA! 
look: 4.5 | smell: 4 | taste: 3.75 | feel: 4 | overall: 3.75 
